"Notes"	"Cause of death"	"Cause of death Code"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	"45-54 years"	"45-54"	"Male"	"M"	55	17945514	0.3
	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	"55-64 years"	"55-64"	"Female"	"F"	98	12378763	0.8
	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	"55-64 years"	"55-64"	"Male"	"M"	228	11399263	2.0
	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	"65-74 years"	"65-74"	"Female"	"F"	572	10125424	5.6
	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	"65-74 years"	"65-74"	"Male"	"M"	727	8293485	8.8
	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	"75-84 years"	"75-84"	"Female"	"F"	2057	7411198	27.8
	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	"75-84 years"	"75-84"	"Male"	"M"	1799	4813716	37.4
	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	"85+ years"	"85+"	"Female"	"F"	3192	2960708	107.8
	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	"85+ years"	"85+"	"Male"	"M"	1364	1193310	114.3
	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	"35-44 years"	"35-44"	"Female"	"F"	16	22669604	0.1 (Unreliable)
	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	"35-44 years"	"35-44"	"Male"	"M"	13	22407073	0.1 (Unreliable)
	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	"45-54 years"	"45-54"	"Female"	"F"	50	18632305	0.3
	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	"45-54 years"	"45-54"	"Male"	"M"	48	17945514	0.3
	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	"55-64 years"	"55-64"	"Female"	"F"	96	12378763	0.8
	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	"55-64 years"	"55-64"	"Male"	"M"	142	11399263	1.2
	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	"65-74 years"	"65-74"	"Female"	"F"	506	10125424	5.0
	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	"65-74 years"	"65-74"	"Male"	"M"	497	8293485	6.0
	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	"75-84 years"	"75-84"	"Female"	"F"	1867	7411198	25.2
	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	"75-84 years"	"75-84"	"Male"	"M"	1288	4813716	26.8
	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	"85+ years"	"85+"	"Female"	"F"	3780	2960708	127.7
	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	"85+ years"	"85+"	"Male"	"M"	1356	1193310	113.6
	"Atherosclerosis of aorta"	"I70.0"	"75-84 years"	"75-84"	"Male"	"M"	10	4813716	0.2 (Unreliable)
	"Atherosclerosis of aorta"	"I70.0"	"85+ years"	"85+"	"Male"	"M"	11	1193310	0.9 (Unreliable)
	"Atherosclerosis of renal artery"	"I70.1"	"65-74 years"	"65-74"	"Female"	"F"	12	10125424	0.1 (Unreliable)
	"Atherosclerosis of renal artery"	"I70.1"	"75-84 years"	"75-84"	"Female"	"F"	20	7411198	0.3
	"Atherosclerosis of renal artery"	"I70.1"	"75-84 years"	"75-84"	"Male"	"M"	11	4813716	0.2 (Unreliable)
	"Atherosclerosis of renal artery"	"I70.1"	"85+ years"	"85+"	"Female"	"F"	10	2960708	0.3 (Unreliable)
	"Atherosclerosis of arteries of extremities"	"I70.2"	"55-64 years"	"55-64"	"Female"	"F"	14	12378763	0.1 (Unreliable)
	"Atherosclerosis of arteries of extremities"	"I70.2"	"55-64 years"	"55-64"	"Male"	"M"	15	11399263	0.1 (Unreliable)
	"Atherosclerosis of arteries of extremities"	"I70.2"	"65-74 years"	"65-74"	"Female"	"F"	39	10125424	0.4
	"Atherosclerosis of arteries of extremities"	"I70.2"	"65-74 years"	"65-74"	"Male"	"M"	47	8293485	0.6
	"Atherosclerosis of arteries of extremities"	"I70.2"	"75-84 years"	"75-84"	"Female"	"F"	96	7411198	1.3
	"Atherosclerosis of arteries of extremities"	"I70.2"	"75-84 years"	"75-84"	"Male"	"M"	97	4813716	2.0
	"Atherosclerosis of arteries of extremities"	"I70.2"	"85+ years"	"85+"	"Female"	"F"	195	2960708	6.6
	"Atherosclerosis of arteries of extremities"	"I70.2"	"85+ years"	"85+"	"Male"	"M"	82	1193310	6.9
	"Generalized and unspecified atherosclerosis"	"I70.9"	"35-44 years"	"35-44"	"Female"	"F"	12	22669604	0.1 (Unreliable)
	"Generalized and unspecified atherosclerosis"	"I70.9"	"35-44 years"	"35-44"	"Male"	"M"	29	22407073	0.1
	"Generalized and unspecified atherosclerosis"	"I70.9"	"45-54 years"	"45-54"	"Female"	"F"	59	18632305	0.3
	"Generalized and unspecified atherosclerosis"	"I70.9"	"45-54 years"	"45-54"	"Male"	"M"	113	17945514	0.6
	"Generalized and unspecified atherosclerosis"	"I70.9"	"55-64 years"	"55-64"	"Female"	"F"	162	12378763	1.3
	"Generalized and unspecified atherosclerosis"	"I70.9"	"55-64 years"	"55-64"	"Male"	"M"	282	11399263	2.5
	"Generalized and unspecified atherosclerosis"	"I70.9"	"65-74 years"	"65-74"	"Female"	"F"	623	10125424	6.2
	"Generalized and unspecified atherosclerosis"	"I70.9"	"65-74 years"	"65-74"	"Male"	"M"	734	8293485	8.9
	"Generalized and unspecified atherosclerosis"	"I70.9"	"75-84 years"	"75-84"	"Female"	"F"	2336	7411198	31.5
	"Generalized and unspecified atherosclerosis"	"I70.9"	"75-84 years"	"75-84"	"Male"	"M"	1809	4813716	37.6
	"Generalized and unspecified atherosclerosis"	"I70.9"	"85+ years"	"85+"	"Female"	"F"	5921	2960708	200.0
	"Generalized and unspecified atherosclerosis"	"I70.9"	"85+ years"	"85+"	"Male"	"M"	2158	1193310	180.8
	"Dissection of aorta [any part]"	"I71.0"	"20-24 years"	"20-24"	"Male"	"M"	11	9492814	0.1 (Unreliable)
	"Dissection of aorta [any part]"	"I71.0"	"25-34 years"	"25-34"	"Female"	"F"	14	19945090	0.1 (Unreliable)
	"Dissection of aorta [any part]"	"I71.0"	"25-34 years"	"25-34"	"Male"	"M"	56	20233316	0.3
	"Dissection of aorta [any part]"	"I71.0"	"35-44 years"	"35-44"	"Female"	"F"	79	22669604	0.3
	"Dissection of aorta [any part]"	"I71.0"	"35-44 years"	"35-44"	"Male"	"M"	168	22407073	0.7
	"Dissection of aorta [any part]"	"I71.0"	"45-54 years"	"45-54"	"Female"	"F"	105	18632305	0.6
	"Dissection of aorta [any part]"	"I71.0"	"45-54 years"	"45-54"	"Male"	"M"	320	17945514	1.8
	"Dissection of aorta [any part]"	"I71.0"	"55-64 years"	"55-64"	"Female"	"F"	164	12378763	1.3
	"Dissection of aorta [any part]"	"I71.0"	"55-64 years"	"55-64"	"Male"	"M"	370	11399263	3.2
	"Dissection of aorta [any part]"	"I71.0"	"65-74 years"	"65-74"	"Female"	"F"	321	10125424	3.2
	"Dissection of aorta [any part]"	"I71.0"	"65-74 years"	"65-74"	"Male"	"M"	447	8293485	5.4
	"Dissection of aorta [any part]"	"I71.0"	"75-84 years"	"75-84"	"Female"	"F"	454	7411198	6.1
	"Dissection of aorta [any part]"	"I71.0"	"75-84 years"	"75-84"	"Male"	"M"	448	4813716	9.3
	"Dissection of aorta [any part]"	"I71.0"	"85+ years"	"85+"	"Female"	"F"	259	2960708	8.7
	"Dissection of aorta [any part]"	"I71.0"	"85+ years"	"85+"	"Male"	"M"	141	1193310	11.8
	"Thoracic aortic aneurysm, ruptured"	"I71.1"	"25-34 years"	"25-34"	"Male"	"M"	10	20233316	0.0 (Unreliable)
	"Thoracic aortic aneurysm, ruptured"	"I71.1"	"35-44 years"	"35-44"	"Male"	"M"	23	22407073	0.1
	"Thoracic aortic aneurysm, ruptured"	"I71.1"	"45-54 years"	"45-54"	"Female"	"F"	10	18632305	0.1 (Unreliable)
	"Thoracic aortic aneurysm, ruptured"	"I71.1"	"45-54 years"	"45-54"	"Male"	"M"	40	17945514	0.2
	"Thoracic aortic aneurysm, ruptured"	"I71.1"	"55-64 years"	"55-64"	"Female"	"F"	22	12378763	0.2
	"Thoracic aortic aneurysm, ruptured"	"I71.1"	"55-64 years"	"55-64"	"Male"	"M"	52	11399263	0.5
	"Thoracic aortic aneurysm, ruptured"	"I71.1"	"65-74 years"	"65-74"	"Female"	"F"	109	10125424	1.1
	"Thoracic aortic aneurysm, ruptured"	"I71.1"	"65-74 years"	"65-74"	"Male"	"M"	133	8293485	1.6
	"Thoracic aortic aneurysm, ruptured"	"I71.1"	"75-84 years"	"75-84"	"Female"	"F"	275	7411198	3.7
	"Thoracic aortic aneurysm, ruptured"	"I71.1"	"75-84 years"	"75-84"	"Male"	"M"	219	4813716	4.5
	"Thoracic aortic aneurysm, ruptured"	"I71.1"	"85+ years"	"85+"	"Female"	"F"	177	2960708	6.0
	"Thoracic aortic aneurysm, ruptured"	"I71.1"	"85+ years"	"85+"	"Male"	"M"	108	1193310	9.1
	"Thoracic aortic aneurysm, without mention of rupture"	"I71.2"	"45-54 years"	"45-54"	"Male"	"M"	13	17945514	0.1 (Unreliable)
	"Thoracic aortic aneurysm, without mention of rupture"	"I71.2"	"55-64 years"	"55-64"	"Female"	"F"	23	12378763	0.2
	"Thoracic aortic aneurysm, without mention of rupture"	"I71.2"	"55-64 years"	"55-64"	"Male"	"M"	34	11399263	0.3
	"Thoracic aortic aneurysm, without mention of rupture"	"I71.2"	"65-74 years"	"65-74"	"Female"	"F"	92	10125424	0.9
	"Thoracic aortic aneurysm, without mention of rupture"	"I71.2"	"65-74 years"	"65-74"	"Male"	"M"	102	8293485	1.2
	"Thoracic aortic aneurysm, without mention of rupture"	"I71.2"	"75-84 years"	"75-84"	"Female"	"F"	192	7411198	2.6
	"Thoracic aortic aneurysm, without mention of rupture"	"I71.2"	"75-84 years"	"75-84"	"Male"	"M"	136	4813716	2.8
	"Thoracic aortic aneurysm, without mention of rupture"	"I71.2"	"85+ years"	"85+"	"Female"	"F"	119	2960708	4.0
	"Thoracic aortic aneurysm, without mention of rupture"	"I71.2"	"85+ years"	"85+"	"Male"	"M"	57	1193310	4.8
	"Abdominal aortic aneurysm, ruptured"	"I71.3"	"45-54 years"	"45-54"	"Female"	"F"	10	18632305	0.1 (Unreliable)
	"Abdominal aortic aneurysm, ruptured"	"I71.3"	"45-54 years"	"45-54"	"Male"	"M"	43	17945514	0.2
	"Abdominal aortic aneurysm, ruptured"	"I71.3"	"55-64 years"	"55-64"	"Female"	"F"	77	12378763	0.6
	"Abdominal aortic aneurysm, ruptured"	"I71.3"	"55-64 years"	"55-64"	"Male"	"M"	382	11399263	3.4
	"Abdominal aortic aneurysm, ruptured"	"I71.3"	"65-74 years"	"65-74"	"Female"	"F"	371	10125424	3.7
	"Abdominal aortic aneurysm, ruptured"	"I71.3"	"65-74 years"	"65-74"	"Male"	"M"	1185	8293485	14.3
	"Abdominal aortic aneurysm, ruptured"	"I71.3"	"75-84 years"	"75-84"	"Female"	"F"	753	7411198	10.2
	"Abdominal aortic aneurysm, ruptured"	"I71.3"	"75-84 years"	"75-84"	"Male"	"M"	1505	4813716	31.3
	"Abdominal aortic aneurysm, ruptured"	"I71.3"	"85+ years"	"85+"	"Female"	"F"	632	2960708	21.3
	"Abdominal aortic aneurysm, ruptured"	"I71.3"	"85+ years"	"85+"	"Male"	"M"	677	1193310	56.7
	"Abdominal aortic aneurysm, without mention of rupture"	"I71.4"	"55-64 years"	"55-64"	"Female"	"F"	27	12378763	0.2
	"Abdominal aortic aneurysm, without mention of rupture"	"I71.4"	"55-64 years"	"55-64"	"Male"	"M"	97	11399263	0.9
	"Abdominal aortic aneurysm, without mention of rupture"	"I71.4"	"65-74 years"	"65-74"	"Female"	"F"	148	10125424	1.5
	"Abdominal aortic aneurysm, without mention of rupture"	"I71.4"	"65-74 years"	"65-74"	"Male"	"M"	413	8293485	5.0
	"Abdominal aortic aneurysm, without mention of rupture"	"I71.4"	"75-84 years"	"75-84"	"Female"	"F"	337	7411198	4.5
	"Abdominal aortic aneurysm, without mention of rupture"	"I71.4"	"75-84 years"	"75-84"	"Male"	"M"	610	4813716	12.7
	"Abdominal aortic aneurysm, without mention of rupture"	"I71.4"	"85+ years"	"85+"	"Female"	"F"	324	2960708	10.9
	"Abdominal aortic aneurysm, without mention of rupture"	"I71.4"	"85+ years"	"85+"	"Male"	"M"	287	1193310	24.1
	"Thoracoabdominal aortic aneurysm, ruptured"	"I71.5"	"65-74 years"	"65-74"	"Male"	"M"	10	8293485	0.1 (Unreliable)
	"Thoracoabdominal aortic aneurysm, ruptured"	"I71.5"	"75-84 years"	"75-84"	"Female"	"F"	14	7411198	0.2 (Unreliable)
	"Thoracoabdominal aortic aneurysm, ruptured"	"I71.5"	"75-84 years"	"75-84"	"Male"	"M"	19	4813716	0.4 (Unreliable)
	"Thoracoabdominal aortic aneurysm, without mention of rupture"	"I71.6"	"65-74 years"	"65-74"	"Female"	"F"	14	10125424	0.1 (Unreliable)
	"Thoracoabdominal aortic aneurysm, without mention of rupture"	"I71.6"	"65-74 years"	"65-74"	"Male"	"M"	24	8293485	0.3
	"Thoracoabdominal aortic aneurysm, without mention of rupture"	"I71.6"	"75-84 years"	"75-84"	"Female"	"F"	17	7411198	0.2 (Unreliable)
	"Thoracoabdominal aortic aneurysm, without mention of rupture"	"I71.6"	"75-84 years"	"75-84"	"Male"	"M"	20	4813716	0.4
	"Aortic aneurysm of unspecified site, ruptured"	"I71.8"	"35-44 years"	"35-44"	"Male"	"M"	23	22407073	0.1
	"Aortic aneurysm of unspecified site, ruptured"	"I71.8"	"45-54 years"	"45-54"	"Female"	"F"	15	18632305	0.1 (Unreliable)
	"Aortic aneurysm of unspecified site, ruptured"	"I71.8"	"45-54 years"	"45-54"	"Male"	"M"	50	17945514	0.3
	"Aortic aneurysm of unspecified site, ruptured"	"I71.8"	"55-64 years"	"55-64"	"Female"	"F"	25	12378763	0.2
	"Aortic aneurysm of unspecified site, ruptured"	"I71.8"	"55-64 years"	"55-64"	"Male"	"M"	106	11399263	0.9
	"Aortic aneurysm of unspecified site, ruptured"	"I71.8"	"65-74 years"	"65-74"	"Female"	"F"	143	10125424	1.4
	"Aortic aneurysm of unspecified site, ruptured"	"I71.8"	"65-74 years"	"65-74"	"Male"	"M"	284	8293485	3.4
	"Aortic aneurysm of unspecified site, ruptured"	"I71.8"	"75-84 years"	"75-84"	"Female"	"F"	265	7411198	3.6
	"Aortic aneurysm of unspecified site, ruptured"	"I71.8"	"75-84 years"	"75-84"	"Male"	"M"	392	4813716	8.1
	"Aortic aneurysm of unspecified site, ruptured"	"I71.8"	"85+ years"	"85+"	"Female"	"F"	221	2960708	7.5
	"Aortic aneurysm of unspecified site, ruptured"	"I71.8"	"85+ years"	"85+"	"Male"	"M"	154	1193310	12.9
	"Aortic aneurysm of unspecified site, without mention of rupture"	"I71.9"	"45-54 years"	"45-54"	"Male"	"M"	12	17945514	0.1 (Unreliable)
	"Aortic aneurysm of unspecified site, without mention of rupture"	"I71.9"	"55-64 years"	"55-64"	"Male"	"M"	39	11399263	0.3
	"Aortic aneurysm of unspecified site, without mention of rupture"	"I71.9"	"65-74 years"	"65-74"	"Female"	"F"	82	10125424	0.8
	"Aortic aneurysm of unspecified site, without mention of rupture"	"I71.9"	"65-74 years"	"65-74"	"Male"	"M"	114	8293485	1.4
	"Aortic aneurysm of unspecified site, without mention of rupture"	"I71.9"	"75-84 years"	"75-84"	"Female"	"F"	128	7411198	1.7
	"Aortic aneurysm of unspecified site, without mention of rupture"	"I71.9"	"75-84 years"	"75-84"	"Male"	"M"	152	4813716	3.2
	"Aortic aneurysm of unspecified site, without mention of rupture"	"I71.9"	"85+ years"	"85+"	"Female"	"F"	101	2960708	3.4
	"Aortic aneurysm of unspecified site, without mention of rupture"	"I71.9"	"85+ years"	"85+"	"Male"	"M"	67	1193310	5.6
	"Aneurysm of carotid artery"	"I72.0"	"65-74 years"	"65-74"	"Female"	"F"	10	10125424	0.1 (Unreliable)
	"Aneurysm of renal artery"	"I72.2"	"75-84 years"	"75-84"	"Male"	"M"	10	4813716	0.2 (Unreliable)
	"Aneurysm of iliac artery"	"I72.3"	"65-74 years"	"65-74"	"Male"	"M"	36	8293485	0.4
	"Aneurysm of iliac artery"	"I72.3"	"75-84 years"	"75-84"	"Female"	"F"	10	7411198	0.1 (Unreliable)
	"Aneurysm of iliac artery"	"I72.3"	"75-84 years"	"75-84"	"Male"	"M"	60	4813716	1.2
	"Aneurysm of iliac artery"	"I72.3"	"85+ years"	"85+"	"Male"	"M"	26	1193310	2.2
	"Aneurysm of other specified arteries"	"I72.8"	"65-74 years"	"65-74"	"Male"	"M"	10	8293485	0.1 (Unreliable)
	"Aneurysm of other specified arteries"	"I72.8"	"75-84 years"	"75-84"	"Female"	"F"	10	7411198	0.1 (Unreliable)
	"Aneurysm of other specified arteries"	"I72.8"	"75-84 years"	"75-84"	"Male"	"M"	15	4813716	0.3 (Unreliable)
	"Aneurysm of unspecified site"	"I72.9"	"35-44 years"	"35-44"	"Female"	"F"	13	22669604	0.1 (Unreliable)
	"Aneurysm of unspecified site"	"I72.9"	"35-44 years"	"35-44"	"Male"	"M"	12	22407073	0.1 (Unreliable)
	"Aneurysm of unspecified site"	"I72.9"	"45-54 years"	"45-54"	"Female"	"F"	15	18632305	0.1 (Unreliable)
	"Aneurysm of unspecified site"	"I72.9"	"45-54 years"	"45-54"	"Male"	"M"	20	17945514	0.1
	"Aneurysm of unspecified site"	"I72.9"	"55-64 years"	"55-64"	"Female"	"F"	19	12378763	0.2 (Unreliable)
	"Aneurysm of unspecified site"	"I72.9"	"55-64 years"	"55-64"	"Male"	"M"	32	11399263	0.3
	"Aneurysm of unspecified site"	"I72.9"	"65-74 years"	"65-74"	"Female"	"F"	30	10125424	0.3
	"Aneurysm of unspecified site"	"I72.9"	"65-74 years"	"65-74"	"Male"	"M"	42	8293485	0.5
	"Aneurysm of unspecified site"	"I72.9"	"75-84 years"	"75-84"	"Female"	"F"	55	7411198	0.7
	"Aneurysm of unspecified site"	"I72.9"	"75-84 years"	"75-84"	"Male"	"M"	59	4813716	1.2
	"Aneurysm of unspecified site"	"I72.9"	"85+ years"	"85+"	"Female"	"F"	28	2960708	0.9
	"Aneurysm of unspecified site"	"I72.9"	"85+ years"	"85+"	"Male"	"M"	18	1193310	1.5 (Unreliable)
	"Other specified peripheral vascular diseases"	"I73.8"	"85+ years"	"85+"	"Female"	"F"	13	2960708	0.4 (Unreliable)
	"Peripheral vascular disease, unspecified"	"I73.9"	"35-44 years"	"35-44"	"Female"	"F"	26	22669604	0.1
	"Peripheral vascular disease, unspecified"	"I73.9"	"45-54 years"	"45-54"	"Female"	"F"	61	18632305	0.3
	"Peripheral vascular disease, unspecified"	"I73.9"	"45-54 years"	"45-54"	"Male"	"M"	77	17945514	0.4
	"Peripheral vascular disease, unspecified"	"I73.9"	"55-64 years"	"55-64"	"Female"	"F"	175	12378763	1.4
	"Peripheral vascular disease, unspecified"	"I73.9"	"55-64 years"	"55-64"	"Male"	"M"	238	11399263	2.1
	"Peripheral vascular disease, unspecified"	"I73.9"	"65-74 years"	"65-74"	"Female"	"F"	510	10125424	5.0
	"Peripheral vascular disease, unspecified"	"I73.9"	"65-74 years"	"65-74"	"Male"	"M"	607	8293485	7.3
	"Peripheral vascular disease, unspecified"	"I73.9"	"75-84 years"	"75-84"	"Female"	"F"	1270	7411198	17.1
	"Peripheral vascular disease, unspecified"	"I73.9"	"75-84 years"	"75-84"	"Male"	"M"	1016	4813716	21.1
	"Peripheral vascular disease, unspecified"	"I73.9"	"85+ years"	"85+"	"Female"	"F"	2071	2960708	69.9
	"Peripheral vascular disease, unspecified"	"I73.9"	"85+ years"	"85+"	"Male"	"M"	792	1193310	66.4
	"Embolism and thrombosis of abdominal aorta"	"I74.0"	"65-74 years"	"65-74"	"Female"	"F"	11	10125424	0.1 (Unreliable)
	"Embolism and thrombosis of abdominal aorta"	"I74.0"	"75-84 years"	"75-84"	"Female"	"F"	14	7411198	0.2 (Unreliable)
	"Embolism and thrombosis of abdominal aorta"	"I74.0"	"85+ years"	"85+"	"Female"	"F"	13	2960708	0.4 (Unreliable)
	"Embolism and thrombosis of other and unspecified parts of aorta"	"I74.1"	"55-64 years"	"55-64"	"Female"	"F"	16	12378763	0.1 (Unreliable)
	"Embolism and thrombosis of other and unspecified parts of aorta"	"I74.1"	"55-64 years"	"55-64"	"Male"	"M"	20	11399263	0.2
	"Embolism and thrombosis of other and unspecified parts of aorta"	"I74.1"	"65-74 years"	"65-74"	"Female"	"F"	36	10125424	0.4
	"Embolism and thrombosis of other and unspecified parts of aorta"	"I74.1"	"65-74 years"	"65-74"	"Male"	"M"	31	8293485	0.4
	"Embolism and thrombosis of other and unspecified parts of aorta"	"I74.1"	"75-84 years"	"75-84"	"Female"	"F"	51	7411198	0.7
	"Embolism and thrombosis of other and unspecified parts of aorta"	"I74.1"	"75-84 years"	"75-84"	"Male"	"M"	32	4813716	0.7
	"Embolism and thrombosis of other and unspecified parts of aorta"	"I74.1"	"85+ years"	"85+"	"Female"	"F"	38	2960708	1.3
	"Embolism and thrombosis of arteries of lower extremities"	"I74.3"	"65-74 years"	"65-74"	"Male"	"M"	14	8293485	0.2 (Unreliable)
	"Embolism and thrombosis of arteries of lower extremities"	"I74.3"	"75-84 years"	"75-84"	"Female"	"F"	43	7411198	0.6
	"Embolism and thrombosis of arteries of lower extremities"	"I74.3"	"75-84 years"	"75-84"	"Male"	"M"	22	4813716	0.5
	"Embolism and thrombosis of arteries of lower extremities"	"I74.3"	"85+ years"	"85+"	"Female"	"F"	86	2960708	2.9
	"Embolism and thrombosis of arteries of lower extremities"	"I74.3"	"85+ years"	"85+"	"Male"	"M"	24	1193310	2.0
	"Embolism and thrombosis of arteries of extremities, unspecified"	"I74.4"	"75-84 years"	"75-84"	"Male"	"M"	10	4813716	0.2 (Unreliable)
	"Embolism and thrombosis of arteries of extremities, unspecified"	"I74.4"	"85+ years"	"85+"	"Female"	"F"	15	2960708	0.5 (Unreliable)
	"Embolism and thrombosis of unspecified artery"	"I74.9"	"55-64 years"	"55-64"	"Female"	"F"	19	12378763	0.2 (Unreliable)
	"Embolism and thrombosis of unspecified artery"	"I74.9"	"55-64 years"	"55-64"	"Male"	"M"	21	11399263	0.2
	"Embolism and thrombosis of unspecified artery"	"I74.9"	"65-74 years"	"65-74"	"Female"	"F"	49	10125424	0.5
	"Embolism and thrombosis of unspecified artery"	"I74.9"	"65-74 years"	"65-74"	"Male"	"M"	40	8293485	0.5
	"Embolism and thrombosis of unspecified artery"	"I74.9"	"75-84 years"	"75-84"	"Female"	"F"	88	7411198	1.2
	"Embolism and thrombosis of unspecified artery"	"I74.9"	"75-84 years"	"75-84"	"Male"	"M"	68	4813716	1.4
	"Embolism and thrombosis of unspecified artery"	"I74.9"	"85+ years"	"85+"	"Female"	"F"	95	2960708	3.2
	"Embolism and thrombosis of unspecified artery"	"I74.9"	"85+ years"	"85+"	"Male"	"M"	23	1193310	1.9
	"Stricture of artery"	"I77.1"	"65-74 years"	"65-74"	"Female"	"F"	13	10125424	0.1 (Unreliable)
	"Stricture of artery"	"I77.1"	"65-74 years"	"65-74"	"Male"	"M"	11	8293485	0.1 (Unreliable)
	"Stricture of artery"	"I77.1"	"75-84 years"	"75-84"	"Female"	"F"	31	7411198	0.4
	"Stricture of artery"	"I77.1"	"75-84 years"	"75-84"	"Male"	"M"	17	4813716	0.4 (Unreliable)
	"Stricture of artery"	"I77.1"	"85+ years"	"85+"	"Female"	"F"	42	2960708	1.4
	"Stricture of artery"	"I77.1"	"85+ years"	"85+"	"Male"	"M"	11	1193310	0.9 (Unreliable)
	"Rupture of artery"	"I77.2"	"55-64 years"	"55-64"	"Male"	"M"	14	11399263	0.1 (Unreliable)
	"Rupture of artery"	"I77.2"	"65-74 years"	"65-74"	"Female"	"F"	15	10125424	0.1 (Unreliable)
	"Rupture of artery"	"I77.2"	"65-74 years"	"65-74"	"Male"	"M"	33	8293485	0.4
	"Rupture of artery"	"I77.2"	"75-84 years"	"75-84"	"Female"	"F"	24	7411198	0.3
	"Rupture of artery"	"I77.2"	"75-84 years"	"75-84"	"Male"	"M"	37	4813716	0.8
	"Arteritis, unspecified"	"I77.6"	"35-44 years"	"35-44"	"Female"	"F"	13	22669604	0.1 (Unreliable)
	"Arteritis, unspecified"	"I77.6"	"35-44 years"	"35-44"	"Male"	"M"	16	22407073	0.1 (Unreliable)
	"Arteritis, unspecified"	"I77.6"	"45-54 years"	"45-54"	"Female"	"F"	31	18632305	0.2
	"Arteritis, unspecified"	"I77.6"	"45-54 years"	"45-54"	"Male"	"M"	16	17945514	0.1 (Unreliable)
	"Arteritis, unspecified"	"I77.6"	"55-64 years"	"55-64"	"Female"	"F"	42	12378763	0.3
	"Arteritis, unspecified"	"I77.6"	"55-64 years"	"55-64"	"Male"	"M"	22	11399263	0.2
	"Arteritis, unspecified"	"I77.6"	"65-74 years"	"65-74"	"Female"	"F"	66	10125424	0.7
	"Arteritis, unspecified"	"I77.6"	"65-74 years"	"65-74"	"Male"	"M"	50	8293485	0.6
	"Arteritis, unspecified"	"I77.6"	"75-84 years"	"75-84"	"Female"	"F"	108	7411198	1.5
	"Arteritis, unspecified"	"I77.6"	"75-84 years"	"75-84"	"Male"	"M"	82	4813716	1.7
	"Arteritis, unspecified"	"I77.6"	"85+ years"	"85+"	"Female"	"F"	56	2960708	1.9
	"Arteritis, unspecified"	"I77.6"	"85+ years"	"85+"	"Male"	"M"	21	1193310	1.8
	"Disorder of arteries and arterioles, unspecified"	"I77.9"	"45-54 years"	"45-54"	"Female"	"F"	10	18632305	0.1 (Unreliable)
	"Disorder of arteries and arterioles, unspecified"	"I77.9"	"55-64 years"	"55-64"	"Female"	"F"	17	12378763	0.1 (Unreliable)
	"Disorder of arteries and arterioles, unspecified"	"I77.9"	"55-64 years"	"55-64"	"Male"	"M"	25	11399263	0.2
	"Disorder of arteries and arterioles, unspecified"	"I77.9"	"65-74 years"	"65-74"	"Female"	"F"	43	10125424	0.4
	"Disorder of arteries and arterioles, unspecified"	"I77.9"	"65-74 years"	"65-74"	"Male"	"M"	48	8293485	0.6
	"Disorder of arteries and arterioles, unspecified"	"I77.9"	"75-84 years"	"75-84"	"Female"	"F"	42	7411198	0.6
	"Disorder of arteries and arterioles, unspecified"	"I77.9"	"75-84 years"	"75-84"	"Male"	"M"	48	4813716	1.0
	"Disorder of arteries and arterioles, unspecified"	"I77.9"	"85+ years"	"85+"	"Female"	"F"	32	2960708	1.1
	"Disorder of arteries and arterioles, unspecified"	"I77.9"	"85+ years"	"85+"	"Male"	"M"	17	1193310	1.4 (Unreliable)
	"Phlebitis and thrombophlebitis of femoral vein"	"I80.1"	"75-84 years"	"75-84"	"Male"	"M"	10	4813716	0.2 (Unreliable)
	"Phlebitis and thrombophlebitis of other deep vessels of lower extremities"	"I80.2"	"25-34 years"	"25-34"	"Female"	"F"	25	19945090	0.1
	"Phlebitis and thrombophlebitis of other deep vessels of lower extremities"	"I80.2"	"25-34 years"	"25-34"	"Male"	"M"	28	20233316	0.1
	"Phlebitis and thrombophlebitis of other deep vessels of lower extremities"	"I80.2"	"35-44 years"	"35-44"	"Female"	"F"	75	22669604	0.3
